13925524523	16386546525	20190418035416	0428
19804708290	16988992966	20190904103348	0016
17724624423	16386546525	20191003121754	1748
16530347837	15469927054	20190410002303	1838
15587938431	13308161427	20191010141437	0488
16823476185	14745170807	20190909211232	0072
15469927054	16988992966	20190621124836	0930
17724624423	15100544661	20190404171349	1242
18371702506	17535254341	20190505000434	1809
19565699732	14794420944	20190829185655	0312
19503550013	15587938431	20190918083516	0163
15521337327	13315635534	20190914191003	2003
19682736229	19633396534	20190930004248	0191
16088636917	16386546525	20190427150842	1012
15469927054	16088636917	20190107185555	1841
15469927054	13187906352	20190611072351	1862
13915031006	17598912312	20190221071239	0704
18371702506	13915031006	20190326053157	0366
13356864280	13187906352	20190418054855	0973
17985675465	17535254341	20191107205117	0316
13356864280	16988992966	20190802212804	1780
16902045100	16912637113	20190702221956	0368
17724624423	15469927054	20190710065407	2531
19633396534	18335345634	20190512084248	1331
18335345634	16386546525	20191023143524	2302
16386546525	18371702506	20190803085308	1587
15587938431	17985675465	20190812234247	2029
13740750790	13187906352	20190822103330	0312
18371702506	13645754678	20191019030420	2953
13187906352	13315635534	20190118153418	0439
15100544661	17985675465	20190902101722	0098
17724624423	17535254341	20190306155406	2692
17598912312	13187906352	20190607165342	0325
17997810279	14794420944	20190508170131	2741
19633396534	13645754678	20190408180824	0733
13645754678	13915031006	20190630174935	0318
13078675776	19633396534	20191023125637	1666
18371702506	19503550013	20190128053938	1474
17997810279	13356864280	20190208152623	2889
15521337327	13187906352	20190619202531	0835
19503550013	13645754678	20190117221239	1060
13915031006	17598912312	20190310051456	1334
17598912312	16988992966	20190402082211	2499
18912456234	16988992966	20191030101759	0095
15521337327	17535254341	20190511020255	0646
13740750790	16823476185	20190427144718	2278
13645754678	13740750790	20190630101030	2572
13078675776	15469927054	20190402064602	1000
17598912312	17724624423	20191209191715	2388
13645754678	13740750790	20190528050901	2045
16912637113	15100544661	20191103165643	1053
18371702506	16988992966	20191224233219	0248
18912456234	19804708290	20190928042100	0353
13308161427	18335345634	20190506205826	0775
13111051825	19633396534	20191202101744	2048
16912637113	13111051825	20190621182906	2149
19486683462	15521337327	20190620063209	0066
13925524523	13231412341	20191114200151	0800
13915031006	14745170807	20190329040412	0150
15521337327	17535254341	20190201054436	2593
18335345634	15100544661	20190501222754	0938
